chemId	chemName	name	aerosolType	constituentType	localTablesVersion	sourceSinkChemicalPhysicalProcess	typeOfSizeInterval	scaleFactorOfFirstSize	scaledValueOfFirstSize	scaleFactorOfSecondSize	scaledValueOfSecondSize
900	aer_NO3	Nitrate		62004							
901	aer_seasalt_003_05	Sea salt aerosol (0.03 - 0.5 um)		62008			7	8	3	7	5
902	aer_seasalt_05_5	Sea salt aerosol (0.5 - 5 um)		62008			7	7	5	6	5
903	aer_seasalt_5_20	Sea salt aerosol (5 - 20 um)		62008			7	6	5	5	2
904	aer_dust_003_055	Dust aerosol (0.03 - 0.55 um)		62001			7	8	3	8	55
905	aer_dust_055_09	Dust aerosol (0.55 - 0.9 um)		62001			7	8	55	7	9
906	aer_dust_09_20	Dust aerosol (0.9 - 20 um)		62001			7	7	9	5	2
907	aer_hicorgmat	Hydrophilic organic matter aerosol		62015							
908	aer_hocorgmat	Hydrophobic organic matter aerosol		62016							
909	aer_hicblackcarb	Hydrophilic black carbon aerosol		62013							
910	aer_hocblackcarb	Hydrophobic black carbon aerosol		62014							
911	aer_sulph	Sulphate aerosol		62006							
912	aer_nitrfine	Nitrate fine mode aerosol (<= 2.5 um)		62004			5	7	25	missing()	missing()
913	aer_nitrcoars	Nitrate coarse mode aerosol (>2.5 um)		62004			3	7	25	missing()	missing()
914	aer_nh4	Ammonium aerosol		62003							
915	aer_biosecorg	Biogenic secondary organic aerosol		62032							
916	aer_antsecorg	Anthropogenic secondary organic aerosol		62033							
917	strataer	Stratospheric aerosol		65517	1						
918	SOA	Secondary particulate organic matter dry		62012							
919	aer_biosecorg_pre	Biogenic secondary organic aerosol precursor		65511	1						
920	aer_antsecorg_pre	Anthropogenic secondary organic aerosol precursor		65512	1						
921	aer_so2_pre	SO2 precursor		65510	1						
922	aer_total	Total aerosol		62000						
923	aer_sm	Aerosol small mode		65508	1						
924	aer_lm	Aerosol large mode		65509	1						
